%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm],,,,,,
101751.588,302.238,1.173,0.082,0.004,-0.16,-2.918,-1.226,1.391,1.15,0.324,-1.142,-1.388,-1.926,0.112,0.209,1.268,-2.549,2.408,0.314,0.519,0,-3.082,-0.063,-0.238,0.001,535.448,336.52,,,,,,
101759.651,302.238,1.173,0.082,0.004,-0.64,-2.162,-2.118,1.07,1.673,-0.108,-1.764,-0.961,-1.284,-0.223,-0.313,2.113,-2.655,2.513,0.733,0.415,-0.225,-3.061,-0.063,-0.238,0.001,535.448,336.52,,,,,,
101763.683,302.236,1.173,0,-0.233,-0.48,-2.27,-0.669,0.963,1.882,0.108,-1.661,-1.175,-1.712,0,0.104,1.69,-1.699,2.094,0.628,0.727,-0.788,-3.072,-0.044,-0.248,0,535.448,336.52,,,,,,
101751.588,302.234,1.173,0,-0.154,-0.32,-1.513,-0.892,1.713,1.673,0.324,-1.764,-1.708,-1.284,-0.223,-0.625,2.007,-2.018,2.827,-0.209,0.727,-0.338,-3.072,-0.044,-0.248,0.001,535.448,336.52,,,,,,
101747.557,302.236,1.173,0,-0.075,-0.32,-2.27,-1.449,1.177,1.777,0.649,-1.557,-1.175,-2.247,-0.223,0.626,2.007,-1.805,2.513,0.314,0.208,-0.225,-3.113,-0.025,-0.238,0,535.448,336.52,,,,,,
101747.557,302.238,1.173,0,-0.233,-0.64,-2.054,-1.672,0.321,2.196,0.649,-1.972,-1.602,-1.177,-0.781,0,1.796,-2.655,2.408,0.628,0.727,-0.675,-3.092,-0.083,-0.248,0,535.448,336.52,,,,,,
101759.651,302.236,1.173,0,-0.312,-0.48,-2.594,-0.446,0.535,2.196,0.757,-1.453,-1.922,-1.498,-0.112,-0.938,2.113,-2.336,1.78,0.628,0.623,0.226,-3.072,-0.025,-0.238,0,535.448,336.52,,,,,,
101751.588,302.238,1.173,0,-0.312,-0.32,-2.81,-1.337,1.284,0.941,0.433,-1.868,-1.495,-1.712,-0.558,0,1.162,-2.018,2.513,0.523,0.623,-0.113,-3.082,-0.025,-0.217,0,535.448,336.52,,,,,,
101763.683,302.238,1.173,0,-0.233,-0.16,-1.837,-1.783,0.321,2.196,-0.108,-1.557,-1.602,-2.354,-0.558,-0.313,2.536,-2.23,2.513,0.733,-0.207,0,-3.072,-0.044,-0.238,0.001,535.448,336.52,,,,,,
101759.651,302.242,1.173,0,-0.233,0,-2.054,-1.337,1.284,1.673,0.649,-1.972,-1.281,-1.819,-0.223,-0.313,1.902,-2.23,2.408,0.209,-0.104,-1.013,-3.082,-0.063,-0.238,0,535.448,336.52,,,,,,
